id,sentence,label
9566,this would enable live traffic aware apps,0
9569,please try other formatting like bold italics shadow to distinguish titlessubtitles from content,1
9576,since computers were invented to save time i suggest we be allowed to upload them all in one zip file using numbering for the file names and the portal could place them in the right order,1
9577,allow rearranging if the user wants to change them,1
9579,add simd instructions for better use of arm neon instructions for math and games,1
9580,also using a hot swapping code generator optimized machine code like hotspot in java does would also be very helpful to mitigate slow c code,1
9587,microsoft should seriously look into getting rid of symantec for all these payment stuff,1
9599,i would be extremely useful in a variety of app types to be notified upon call started and ended events at least be able to check whether or not the device is being used for a phonecall,1
9626,i would like to see informatin about the certification process in the dev center app,1
9628,it would be nice to see at a glance if an app is featured in one of the markets,1
9630,also i would be fun to have a record showing the featured markets and dates,1
9636,make progressring control available for windows phone just like win,1
9657,it would be great if the os moved on to the second third etc nfc record and tried to trigger off of them until there was a success,1
9660,we need for our applications on each of the mobile platforms to be able to read data on a separate ndef records contained in an ndef message,1
9670,provide process classapis like that for regular windows to develop lower level operations like task manager in windows,1
9686,please add the possibility the set price market distribution and trial mode existence individually for the xaps,1
9702,add the ability to do memory profiling on background agent periodic as they are limited on memory and sometimes its too hard to catch memory leaks,1
9706,either one has to use net to access a library or microsoft advises to do a net app with native code in a winrt component,0
9709,dont limit us artifically just because you dont like native developers,1
9735,these page templates should be updated to use the mediumsized semibold font by default for the title text,1
9750,taskbased operations would make the code much more clean and readable,0
9754,add a boolean to cameracapturetask to indicate whether you want it to save the picture taken to be saved to the camera roll,1
9755,please expose etw logging namespaces like systemdiagnosticseventing so that it is possible to log events from the windows app,1
9756,currently the only way to take advantage of the direct manipulation in a xaml windows store app is by using a scrollviewer,0
9794,instead of having a top charts style listing where the most popular apps are displayed to every phone anywhere create a new form of distribution where the results are randomized every time a user looks at the marketplace,1
9796,highly rated apps should appear near the top more and they should appear less and less frequently and the rating of the app dwindles,1
9799,it seems to me that all good appsgames should have a chance at decent exposure in the top charts and waiting to be featured just isnt worth it,1
9819,maybe you should think about some way to reward those users who take their time to actually try an app and review it,1
9829,it would be great to be able to use the wp emulator and surface emulator for that matter for mobility demonstrations ie when i deliver a dynamics crm demo i often nearly always want to include mobility scenarios on the same screen as the rest of the demo,1
9873,it will even allow seamless migration to new hardware,0
9926,i would like to ask microsoft to give us a tooloption in emulator with which we can take screenshots once in one emulator and it will produce screenshots in all resolutions and all languages supported by our app,1
9929,you have to run one emulator take screenshots close it and run another and so on,0
9978,sharpdx proves that those key technologies can be made available to csharp i would suggest to either support the project or to provide your own interface,0
9980,it would be more natural to allow the physical search key to activate the search function on the active application rather than loading bing which is rarely the goal,1
9994,associate bound objects to data templates implicitly by type instead of explicitly by template name,1
10007,for more information see data binding,0
10027,on wp add optional support to hook these hardware keys press events for the lens plugin featureshardware keys should include vol vol stage light press camera shutter stage deep press camera shutter,1
10028,when an application has problems or when a problem is detected in advance by the developer until the publication of the correction version the client is without knowing what is happening it would be possible for microsoft to implement a communications resource developer for customers who have installed its application,1
10168,readwrite accsess to email sync settings could enable applications to create custom sync profiles based on weekdays time position etc,1
10203,it s impossible to connect easily to ftp network i suggest to include it in the future sdk,1
10204,i hope microsoft can open asia voice function fastest,0
10212,we need support special multitasking tasks like voip and im,1
10260,please add the possibility to add your own spell check service or provide the data if a system wide one existed,1
10267,if microsoft created some incentives like a free device blackberry did this and a free year of membership amazon did this it could drive a lot of developers to the platform which is crucial to the platform taking off,0
10297,i would be a really nice gesture to have an option which can put everything to the other side so when left handed people scroll they could also see the content,1
10389,it would be great to be able to have the emulator location data use the nmea file format either via file importexport or using the files directly as a feed,1
10408,currently you can only pin an album but it would be useful if you can pin a single image as a tile that way you have easy access to a it,1
10459,why shouldnt i as user be able to see reviews made by people from other countries,1
